Id,Category,Catagotry_Num,Date,Day_Num,Day,Time_Num,Time,District,Category_Count_In_Dist
85,住宅竊盜,1,2015/2/16,1,Mon,5,13~15,內湖區,171
86,住宅竊盜,1,2015/2/16,1,Mon,6,16~18,內湖區,171
87,住宅竊盜,1,2015/2/16,1,Mon,8,22~24,松山區,127
88,住宅竊盜,1,2015/2/16,1,Mon,8,22~24,信義區,113
89,住宅竊盜,1,2015/2/18,3,Wed,2,04~06,大同區,84
90,住宅竊盜,1,2015/2/19,4,Thu,5,13~15,信義區,113
91,住宅竊盜,1,2015/2/19,4,Thu,6,16~18,北投區,169
92,住宅竊盜,1,2015/2/19,4,Thu,6,16~18,信義區,113
93,住宅竊盜,1,2015/2/19,4,Thu,7,19~21,信義區,113
94,住宅竊盜,1,2015/2/20,5,Fri,2,04~06,北投區,169
95,住宅竊盜,1,2015/2/21,6,Sat,7,19~21,大安區,150
96,住宅竊盜,1,2015/2/22,7,Sun,1,01~03,文山區,117
97,住宅竊盜,1,2015/2/23,1,Mon,4,10~12,南港區,82
98,住宅竊盜,1,2015/2/23,1,Mon,5,13~15,信義區,113
99,住宅竊盜,1,2015/2/23,1,Mon,7,19~21,士林區,195
100,住宅竊盜,1,2015/2/23,1,Mon,8,22~24,士林區,195
101,住宅竊盜,1,2015/2/24,2,Tue,4,10~12,萬華區,154
102,住宅竊盜,1,2015/2/24,2,Tue,6,16~18,北投區,169
103,住宅竊盜,1,2015/2/24,2,Tue,7,19~21,內湖區,171
104,住宅竊盜,1,2015/2/25,3,Wed,2,04~06,中正區,129
105,住宅竊盜,1,2015/2/25,3,Wed,3,07~09,士林區,195
106,住宅竊盜,1,2015/2/26,4,Thu,1,01~03,大安區,150
107,住宅竊盜,1,2015/2/26,4,Thu,5,13~15,中正區,129
108,住宅竊盜,1,2015/2/26,4,Thu,7,19~21,內湖區,171
109,住宅竊盜,1,2015/2/27,5,Fri,1,01~03,萬華區,154
110,住宅竊盜,1,2015/2/27,5,Fri,4,10~12,北投區,169
111,住宅竊盜,1,2015/2/27,5,Fri,8,22~24,萬華區,154
112,住宅竊盜,1,2015/2/28,6,Sat,7,19~21,萬華區,154
113,住宅竊盜,1,2015/3/4,3,Wed,1,01~03,北投區,169
114,住宅竊盜,1,2015/3/4,3,Wed,6,16~18,士林區,195
115,住宅竊盜,1,2015/3/4,3,Wed,6,16~18,內湖區,171
116,住宅竊盜,1,2015/3/5,4,Thu,2,04~06,北投區,169
117,住宅竊盜,1,2015/3/5,4,Thu,5,13~15,內湖區,171
118,住宅竊盜,1,2015/3/6,5,Fri,1,01~03,內湖區,171
119,住宅竊盜,1,2015/3/6,5,Fri,7,19~21,大安區,150
120,住宅竊盜,1,2015/3/7,6,Sat,2,04~06,北投區,169
121,住宅竊盜,1,2015/3/8,7,Sun,6,16~18,萬華區,154
122,住宅竊盜,1,2015/3/8,7,Sun,8,22~24,萬華區,154
123,住宅竊盜,1,2015/3/10,2,Tue,4,10~12,萬華區,154
124,住宅竊盜,1,2015/3/10,2,Tue,4,10~12,萬華區,154
125,住宅竊盜,1,2015/3/10,2,Tue,8,22~24,士林區,195
126,住宅竊盜,1,2015/3/10,2,Tue,8,22~24,松山區,127
127,住宅竊盜,1,2015/3/12,4,Thu,1,01~03,中正區,129
128,住宅竊盜,1,2015/3/12,4,Thu,4,10~12,大同區,84
129,住宅竊盜,1,2015/3/12,4,Thu,6,16~18,大安區,150
130,住宅竊盜,1,2015/3/13,5,Fri,1,01~03,北投區,169
131,住宅竊盜,1,2015/3/14,6,Sat,1,01~03,文山區,117
132,住宅竊盜,1,2015/3/15,7,Sun,1,01~03,萬華區,154
133,住宅竊盜,1,2015/3/16,1,Mon,3,07~09,大安區,150
134,住宅竊盜,1,2015/3/16,1,Mon,3,07~09,中正區,129
135,住宅竊盜,1,2015/3/17,2,Tue,1,01~03,北投區,169
136,住宅竊盜,1,2015/3/17,2,Tue,4,10~12,南港區,82
137,住宅竊盜,1,2015/3/19,4,Thu,4,10~12,文山區,117
138,住宅竊盜,1,2015/3/19,4,Thu,8,22~24,北投區,169
139,住宅竊盜,1,2015/3/20,5,Fri,4,10~12,萬華區,154
140,住宅竊盜,1,2015/3/20,5,Fri,7,19~21,萬華區,154
141,住宅竊盜,1,2015/3/24,2,Tue,3,07~09,松山區,127
142,住宅竊盜,1,2015/3/25,3,Wed,5,13~15,大安區,150
143,住宅竊盜,1,2015/3/26,4,Thu,6,16~18,文山區,117
144,住宅竊盜,1,2015/3/27,5,Fri,6,16~18,文山區,117
145,住宅竊盜,1,2015/3/27,5,Fri,7,19~21,信義區,113
146,住宅竊盜,1,2015/3/28,6,Sat,7,19~21,中山區,223
147,住宅竊盜,1,2015/3/29,7,Sun,3,07~09,松山區,127
148,住宅竊盜,1,2015/3/29,7,Sun,4,10~12,士林區,195
149,住宅竊盜,1,2015/3/29,7,Sun,6,16~18,松山區,127
150,住宅竊盜,1,2015/3/30,1,Mon,3,07~09,中山區,223
151,住宅竊盜,1,2015/3/30,1,Mon,4,10~12,士林區,195
152,住宅竊盜,1,2015/3/30,1,Mon,4,10~12,文山區,117
153,住宅竊盜,1,2015/3/31,2,Tue,3,07~09,內湖區,171
154,住宅竊盜,1,2015/3/31,2,Tue,8,22~24,萬華區,154
155,住宅竊盜,1,2015/4/1,3,Wed,5,13~15,士林區,195
156,住宅竊盜,1,2015/4/1,3,Wed,8,22~24,中山區,223
157,住宅竊盜,1,2015/4/4,6,Sat,5,13~15,文山區,117
158,住宅竊盜,1,2015/4/5,7,Sun,4,10~12,文山區,117
159,住宅竊盜,1,2015/4/5,7,Sun,7,19~21,松山區,127
160,住宅竊盜,1,2015/4/5,7,Sun,8,22~24,大同區,84
161,住宅竊盜,1,2015/4/5,7,Sun,8,22~24,內湖區,171
162,住宅竊盜,1,2015/4/7,2,Tue,1,01~03,萬華區,154
163,住宅竊盜,1,2015/4/7,2,Tue,4,10~12,中山區,223
164,住宅竊盜,1,2015/4/7,2,Tue,4,10~12,內湖區,171
165,住宅竊盜,1,2015/4/8,3,Wed,4,10~12,中正區,129
166,住宅竊盜,1,2015/4/8,3,Wed,6,16~18,內湖區,171
167,住宅竊盜,1,2015/4/9,4,Thu,4,10~12,中山區,223
168,住宅竊盜,1,2015/4/10,5,Fri,3,07~09,北投區,169
169,住宅竊盜,1,2015/4/10,5,Fri,6,16~18,萬華區,154
170,住宅竊盜,1,2015/4/10,5,Fri,7,19~21,松山區,127
171,住宅竊盜,1,2015/4/11,6,Sat,4,10~12,內湖區,171
172,住宅竊盜,1,2015/4/13,1,Mon,4,10~12,北投區,169
173,住宅竊盜,1,2015/4/13,1,Mon,5,13~15,萬華區,154
174,住宅竊盜,1,2015/4/15,3,Wed,3,07~09,松山區,127
175,住宅竊盜,1,2015/4/15,3,Wed,6,16~18,萬華區,154
176,住宅竊盜,1,2015/4/15,3,Wed,8,22~24,萬華區,154
177,住宅竊盜,1,2015/4/16,4,Thu,2,04~06,文山區,117
178,住宅竊盜,1,2015/4/16,4,Thu,3,07~09,士林區,195
179,住宅竊盜,1,2015/4/16,4,Thu,4,10~12,中山區,223
180,住宅竊盜,1,2015/4/16,4,Thu,5,13~15,內湖區,171
181,住宅竊盜,1,2015/4/16,4,Thu,5,13~15,北投區,169
182,住宅竊盜,1,2015/4/16,4,Thu,7,19~21,南港區,82
183,住宅竊盜,1,2015/4/17,5,Fri,6,16~18,中山區,223
184,住宅竊盜,1,2015/4/17,5,Fri,6,16~18,北投區,169
185,住宅竊盜,1,2015/4/19,7,Sun,5,13~15,北投區,169
186,住宅竊盜,1,2015/4/20,1,Mon,6,16~18,內湖區,171
187,住宅竊盜,1,2015/4/20,1,Mon,8,22~24,中山區,223
188,住宅竊盜,1,2015/4/21,2,Tue,7,19~21,文山區,117
189,住宅竊盜,1,2015/4/22,3,Wed,7,19~21,萬華區,154
190,住宅竊盜,1,2015/4/23,4,Thu,2,04~06,內湖區,171
191,住宅竊盜,1,2015/4/23,4,Thu,5,13~15,內湖區,171
192,住宅竊盜,1,2015/4/23,4,Thu,7,19~21,士林區,195
193,住宅竊盜,1,2015/4/23,4,Thu,7,19~21,萬華區,154
194,住宅竊盜,1,2015/4/24,5,Fri,4,10~12,內湖區,171
195,住宅竊盜,1,2015/4/25,6,Sat,2,04~06,文山區,117
196,住宅竊盜,1,2015/4/25,6,Sat,8,22~24,大同區,84
197,住宅竊盜,1,2015/4/26,7,Sun,2,04~06,北投區,169
198,住宅竊盜,1,2015/4/27,1,Mon,3,07~09,中山區,223
199,住宅竊盜,1,2015/4/27,1,Mon,3,07~09,內湖區,171
200,住宅竊盜,1,2015/4/27,1,Mon,4,10~12,文山區,117
201,住宅竊盜,1,2015/4/27,1,Mon,5,13~15,中山區,223
202,住宅竊盜,1,2015/4/27,1,Mon,6,16~18,萬華區,154
203,住宅竊盜,1,2015/4/27,1,Mon,8,22~24,內湖區,171
204,住宅竊盜,1,2015/4/29,3,Wed,5,13~15,中山區,223
205,住宅竊盜,1,2015/4/29,3,Wed,5,13~15,中山區,223
206,住宅竊盜,1,2015/4/30,4,Thu,3,07~09,內湖區,171
207,住宅竊盜,1,2015/4/30,4,Thu,7,19~21,內湖區,171
208,住宅竊盜,1,2015/5/1,5,Fri,6,16~18,中山區,223
209,住宅竊盜,1,2015/5/1,5,Fri,8,22~24,信義區,113
210,住宅竊盜,1,2015/5/3,7,Sun,7,19~21,松山區,127
211,住宅竊盜,1,2015/5/4,1,Mon,4,10~12,中山區,223
212,住宅竊盜,1,2015/5/4,1,Mon,7,19~21,內湖區,171
213,住宅竊盜,1,2015/5/5,2,Tue,6,16~18,士林區,195
214,住宅竊盜,1,2015/5/6,3,Wed,7,19~21,文山區,117
215,住宅竊盜,1,2015/5/7,4,Thu,7,19~21,信義區,113
216,住宅竊盜,1,2015/5/8,5,Fri,2,04~06,大同區,84
217,住宅竊盜,1,2015/5/8,5,Fri,3,07~09,大安區,150
218,住宅竊盜,1,2015/5/8,5,Fri,5,13~15,北投區,169
219,住宅竊盜,1,2015/5/9,6,Sat,4,10~12,士林區,195
220,住宅竊盜,1,2015/5/10,7,Sun,2,04~06,大安區,150
221,住宅竊盜,1,2015/5/10,7,Sun,4,10~12,內湖區,171
222,住宅竊盜,1,2015/5/10,7,Sun,5,13~15,中山區,223
223,住宅竊盜,1,2015/5/11,1,Mon,8,22~24,萬華區,154
224,住宅竊盜,1,2015/5/12,2,Tue,4,10~12,北投區,169
225,住宅竊盜,1,2015/5/12,2,Tue,5,13~15,中正區,129
226,住宅竊盜,1,2015/5/12,2,Tue,7,19~21,松山區,127
227,住宅竊盜,1,2015/5/14,4,Thu,4,10~12,內湖區,171
228,住宅竊盜,1,2015/5/14,4,Thu,4,10~12,文山區,117
229,住宅竊盜,1,2015/5/15,5,Fri,4,10~12,內湖區,171
230,住宅竊盜,1,2015/5/15,5,Fri,4,10~12,內湖區,171
231,住宅竊盜,1,2015/5/15,5,Fri,7,19~21,北投區,169
232,住宅竊盜,1,2015/5/18,1,Mon,4,10~12,中正區,129
233,住宅竊盜,1,2015/5/21,4,Thu,6,16~18,北投區,169
234,住宅竊盜,1,2015/5/21,4,Thu,8,22~24,士林區,195
235,住宅竊盜,1,2015/5/22,5,Fri,6,16~18,中正區,129
236,住宅竊盜,1,2015/5/23,6,Sat,4,10~12,松山區,127
237,住宅竊盜,1,2015/5/23,6,Sat,4,10~12,松山區,127
238,住宅竊盜,1,2015/5/25,1,Mon,7,19~21,文山區,117
239,住宅竊盜,1,2015/5/26,2,Tue,2,04~06,北投區,169
240,住宅竊盜,1,2015/5/26,2,Tue,6,16~18,中山區,223
241,住宅竊盜,1,2015/5/26,2,Tue,8,22~24,中山區,223
