Id,Category,Date,Day_Num,Day,Time_Num,District,Latitude,Longitude
55,Home,2015/1/28,3,Wed,5,Neihu,25.0689281,121.6183404
56,Home,2015/1/29,4,Thu,5,Songshan,25.05707,121.5647381
57,Home,2015/1/29,4,Thu,5,Xinyi,25.04189,121.574287
58,Home,2015/1/30,5,Fri,5,Xinyi,25.0400079,121.575822
59,Home,2015/1/31,6,Sat,8,Nangang,25.0570045,121.5961107
60,Home,2015/2/1,7,Sun,4,Beitou,25.1375139,121.5006811
61,Home,2015/2/1,7,Sun,4,Songshan,25.0556924,121.5500334
62,Home,2015/2/1,7,Sun,7,Xinyi,25.0342949,121.5749952
63,Home,2015/2/1,7,Sun,8,Beitou,25.1380276,121.5027198
64,Home,2015/2/2,1,Mon,3,Zhongzheng,25.0229517,121.5173403
65,Home,2015/2/2,1,Mon,7,Beitou,25.1380276,121.5027198
66,Home,2015/2/4,3,Wed,6,Zhongshan,25.065211,121.5293055
67,Home,2015/2/5,4,Thu,1,Shilin,25.0846678,121.5174356
68,Home,2015/2/5,4,Thu,2,Neihu,25.0707231,121.6207134
69,Home,2015/2/5,4,Thu,5,Wanhua,25.0337934,121.4936294
70,Home,2015/2/6,5,Fri,3,Zhongshan,25.0551109,121.538292
71,Home,2015/2/7,6,Sat,8,Zhongzheng,25.0388857,121.5327651
72,Home,2015/2/8,7,Sun,2,Daan,25.029294,121.539839
73,Home,2015/2/9,1,Mon,1,Wenshan,24.9847799,121.562084
74,Home,2015/2/10,2,Tue,1,Beitou,25.137655,121.499456
75,Home,2015/2/11,3,Wed,6,Neihu,25.070812,121.60831
76,Home,2015/2/12,4,Thu,7,Wenshan,24.9964529,121.549665
77,Home,2015/2/12,4,Thu,8,Wanhua,25.0196499,121.499322
78,Home,2015/2/13,5,Fri,2,Zhongshan,25.0449579,121.5409071
79,Home,2015/2/13,5,Fri,3,Zhongshan,25.065211,121.5293055
80,Home,2015/2/15,7,Sun,3,Daan,25.027893,121.553726
81,Home,2015/2/15,7,Sun,3,Zhongshan,25.0486369,121.5302099
82,Home,2015/2/15,7,Sun,4,Beitou,25.1161431,121.5095908
83,Home,2015/2/15,7,Sun,8,Xinyi,25.0185961,121.5591098
84,Home,2015/2/16,1,Mon,4,Zhongzheng,25.0183867,121.5292181
85,Home,2015/2/16,1,Mon,5,Neihu,25.0570536,121.5836643
86,Home,2015/2/16,1,Mon,6,Neihu,25.0844198,121.5669363
87,Home,2015/2/16,1,Mon,8,Songshan,25.05189,121.5578
88,Home,2015/2/16,1,Mon,8,Xinyi,25.02768,121.563734
89,Home,2015/2/18,3,Wed,2,Datong,25.0613975,121.515856
90,Home,2015/2/19,4,Thu,5,Xinyi,25.0207337,121.5576168
91,Home,2015/2/19,4,Thu,6,Beitou,25.1075163,121.5176127
92,Home,2015/2/19,4,Thu,6,Xinyi,25.047126,121.5765989
93,Home,2015/2/19,4,Thu,7,Xinyi,25.047126,121.5765989
94,Home,2015/2/20,5,Fri,2,Beitou,25.1081636,121.5166896
95,Home,2015/2/21,6,Sat,7,Daan,25.0305818,121.5563381
96,Home,2015/2/22,7,Sun,1,Wenshan,24.9784842,121.5548454
97,Home,2015/2/23,1,Mon,4,Nangang,25.053507,121.6140897
98,Home,2015/2/23,1,Mon,5,Xinyi,25.037405,121.581287
99,Home,2015/2/23,1,Mon,7,Shilin,25.1069338,121.5262084
100,Home,2015/2/23,1,Mon,8,Shilin,25.088998,121.524773
101,Home,2015/2/24,2,Tue,4,Wanhua,25.0196499,121.499322
102,Home,2015/2/24,2,Tue,6,Beitou,25.1412233,121.5098649
103,Home,2015/2/24,2,Tue,7,Neihu,25.0843028,121.5694955
104,Home,2015/2/25,3,Wed,2,Zhongzheng,25.0442628,121.5160088
105,Home,2015/2/25,3,Wed,3,Shilin,25.106244,121.530126
106,Home,2015/2/26,4,Thu,1,Daan,25.0310298,121.5505975
107,Home,2015/2/26,4,Thu,5,Zhongzheng,25.0397095,121.53131
108,Home,2015/2/26,4,Thu,7,Neihu,25.0834121,121.5677934
109,Home,2015/2/27,5,Fri,1,Wanhua,25.0292384,121.4960796
110,Home,2015/2/27,5,Fri,4,Beitou,25.1288871,121.4990095
111,Home,2015/2/27,5,Fri,8,Wanhua,25.0384502,121.5060268
112,Home,2015/2/28,6,Sat,7,Wanhua,25.0265708,121.4986504
113,Home,2015/3/4,3,Wed,1,Beitou,25.1110219,121.5118844
114,Home,2015/3/4,3,Wed,6,Shilin,25.0892744,121.5073693
115,Home,2015/3/4,3,Wed,6,Neihu,25.0670485,121.5889068
116,Home,2015/3/5,4,Thu,2,Beitou,25.1142676,121.5120065
117,Home,2015/3/5,4,Thu,5,Neihu,25.070445,121.6054421
118,Home,2015/3/6,5,Fri,1,Neihu,25.086285,121.601467
119,Home,2015/3/6,5,Fri,7,Daan,25.0439824,121.550487
120,Home,2015/3/7,6,Sat,2,Beitou,25.133165,121.4960149
121,Home,2015/3/8,7,Sun,6,Wanhua,25.0419446,121.5004606
122,Home,2015/3/8,7,Sun,8,Wanhua,25.0278591,121.5052996
123,Home,2015/3/10,2,Tue,4,Wanhua,25.0388957,121.5041103
124,Home,2015/3/10,2,Tue,4,Wanhua,25.0388957,121.5041103
125,Home,2015/3/10,2,Tue,8,Shilin,25.128841,121.533632
126,Home,2015/3/10,2,Tue,8,Songshan,25.046738,121.560764
127,Home,2015/3/12,4,Thu,1,Zhongzheng,25.0148136,121.5341071
128,Home,2015/3/12,4,Thu,4,Datong,25.0716019,121.5161753
129,Home,2015/3/12,4,Thu,6,Daan,25.024314,121.528051
130,Home,2015/3/13,5,Fri,1,Beitou,25.138526,121.4993383
131,Home,2015/3/14,6,Sat,1,Wenshan,24.9853697,121.5493757
132,Home,2015/3/15,7,Sun,1,Wanhua,25.0212289,121.4939482
133,Home,2015/3/16,1,Mon,3,Daan,25.0267059,121.530724
134,Home,2015/3/16,1,Mon,3,Zhongzheng,25.0236222,121.5160928
135,Home,2015/3/17,2,Tue,1,Beitou,25.1093658,121.5213423
